normalize,filtered,removed
tugas tangan turap kali sunter yang longsor di jl kayu mas utara baru,tugas tangan turap kali sunter longsor jl kayu mas utara,yang di baru
lurah pulau untung jawa bangun posko tanggap bencana,lurah pulau untung jawa bangun posko tanggap bencana,
nelayan imbau waspada gelombang tinggi,nelayan imbau waspada gelombang,tinggi
siap stok beras food station tanam padi sama tani indramayu,stok beras food station tanam padi tani indramayu,siap sama
antisipasi rob sudin sda jakut siaga pompa mobile,antisipasi rob sudin sda jakut siaga pompa mobile,
sudinhub jaksel alih tujuh trayek angkut umum,sudinhub jaksel alih tujuh trayek angkut,umum
warga antusias datang khk gratis di kantor dinas kpkp,warga antusias khk gratis kantor dinas kpkp,datang di
genang di mukim warga cengkareng timur sudah surut,genang mukim warga cengkareng timur surut,di sudah
food station pasti stok beras aman,food station stok beras aman,pasti
ancol siap langkah antisipasi rob,ancol langkah antisipasi rob,siap
lurah adegan masih operasi dapur umum,lurah adegan operasi dapur,masih umum
dinkes intensif semprot disinfektan di lokasi dampak banjir,dinkes intensif semprot disinfektan lokasi dampak banjir,di
perumda pasar jaya akan bangun lokasi etalase kuliner,perumda pasar jaya bangun lokasi etalase kuliner,akan
jakarta prediksi hujan hari ini,jakarta prediksi hujan,hari ini
turap longsor di kali cakung mulai baik,turap longsor kali cakung,di mulai baik
sudin pe laku awat gardu listrik di pulau pari,sudin pe laku awat gardu listrik pulau pari,di
dinas kpkp distribusi pangan subsidi tahun,dinas kpkp distribusi pangan subsidi,tahun
pmi jaksel suplai liter air bersih bagi ungsi banjir,pmi jaksel suplai liter air bersih ungsi banjir,bagi
ratus tugas gabung sih sampah di kedoya,ratus tugas gabung sih sampah kedoya,di
satgas sda jaktim baik tanggul di lurah dukuh,satgas sda jaktim tanggul lurah dukuh,baik di
ada gelar produk ukm di bazar balai kota,gelar produk ukm bazar balai kota,ada di
anggota dprd dki jakarta tinjau lokasi banjir di seman,anggota dprd dki jakarta tinjau lokasi banjir seman,di
personel satpol pp masih kerah rehabilitasi pascabanjir,personel satpol pp kerah rehabilitasi pascabanjir,masih
wakil bupati pimpin tata kawasan pulau karya,wakil bupati pimpin tata kawasan pulau karya,
tugas gabung kerja bakti di adegan,tugas gabung kerja bakti adegan,di
sekda tinjau posko ungsi banjir di gor pancoran,sekda tinjau posko ungsi banjir gor pancoran,di
pohon tumbang di jl raya bogor evakuasi,pohon tumbang jl raya bogor evakuasi,di
satpol pp kerah sih sampah di sman jakarta,satpol pp kerah sih sampah sman jakarta,di
hadir rtm tangan banjir anies lapor kondisi kini posko ungsi,hadir rtm tangan banjir anies lapor kondisi posko ungsi,kini
opd bidang perintah minta optimal serap anggar,opd bidang perintah optimal serap anggar,minta
pal jaya ikan layan sedot tangki septik gratis bagi warga dampak banjir,pal jaya ikan layan sedot tangki septik gratis warga dampak banjir,bagi
pemkab perumda pasar jaya bahas tambah lokasi jakgrosir,pemkab perumda pasar jaya bahas lokasi jakgrosir,tambah
dinas dukcapil cetak dokumen adminduk ganti warga dampak banjir,dinas dukcapil cetak dokumen adminduk ganti warga dampak banjir,
wali kota jaktim pimpin kerja bakti di kramat jati,wali kota jaktim pimpin kerja bakti kramat jati,di
rptra tidung ceria panen sayur,rptra tidung ceria panen sayur,
pt kbn distribusi bantu sembako untuk warga dampak banjir,pt kbn distribusi bantu sembako warga dampak banjir,untuk
sarang tawon diameter sentimeter evakuasi tugas,sarang tawon diameter sentimeter evakuasi tugas,
dinkes layan warga dampak banjir,dinkes layan warga dampak banjir,
jakarta prediksi hujan sejak pagi hari,jakarta prediksi hujan pagi,sejak hari
satpol pp dki tutup new monggo mas,satpol pp dki tutup new monggo mas,
urus rt rw dan kader jumantik ikut wisata gratis ke ancol,urus rt rw kader jumantik wisata gratis ancol,dan ikut ke
tiang reklame rawan roboh di jaring tertib,tiang reklame rawan roboh jaring tertib,di
tugas semprot cair disinfektan di kramat jati,tugas semprot cair disinfektan kramat jati,di
ton sampah angkut dari camat kramat jati,ton sampah angkut camat kramat jati,dari
warga dampak banjir di cengkareng terima puluh dokumen adminduk,warga dampak banjir cengkareng terima puluh dokumen adminduk,di
jumlah ungsi banjir di jakbar turun,ungsi banjir jakbar turun,jumlah di
bupati pulau ribu terima audiensi hipo dki,bupati pulau ribu terima audiensi hipo dki,
upk badan air jakbar sih sampah di kali kbb,upk badan air jakbar sih sampah kali kbb,di
posko sehat di jagal sudah layan warga,posko sehat jagal layan warga,di sudah
luncur aplikasi eorder sambut positif para umkm,luncur aplikasi eorder sambut positif umkm,para
satgas sda jagakarsa tangan tebing longsor jl h shibi,satgas sda jagakarsa tangan tebing longsor jl h shibi,
ton sampah angkut dari lurah kalianyar,ton sampah angkut lurah kalianyar,dari
dinas kpkp pasti stok pangan di jakarta aman,dinas kpkp stok pangan jakarta aman,pasti di
ton sampah pasca banjir di jakut hasil angkut,ton sampah pasca banjir jakut hasil angkut,di
pemkot jakut atas genang di lurah jagal,pemkot jakut genang lurah jagal,atas di
dinas gulkarmat bantu tangan bangun roboh di jakbar,dinas gulkarmat bantu tangan bangun roboh jakbar,di
mohamad taufik serah persen hasil dewan bantu korban banjir,mohamad taufik serah persen hasil dewan bantu korban banjir,
giat ajar ajar di smpn kembali normal,giat ajar ajar smpn normal,di kembali
tugas gabung sih sampah di kramat jati,tugas gabung sih sampah kramat jati,di
ppkd jaktim salur bantu bagi warga dampak banjir di lurah makasar,ppkd jaktim salur bantu warga dampak banjir lurah makasar,bagi di
lurahcamat imbau siaga tugas ppsu di wilayah rawan genang,lurahcamat imbau siaga tugas ppsu wilayah rawan genang,di
sarpras di lurah pulau kelapa cantik,sarpras lurah pulau kelapa cantik,di
dinas bina marga kerah personel untuk rehabilitasi pascabanjir,dinas bina marga kerah personel rehabilitasi pascabanjir,untuk
dharma wanita satu dki kunjung warga dampak banjir di jagal,dharma wanita dki kunjung warga dampak banjir jagal,satu di
pd pal jaya salur galon air mineral di duri kosambi,pd pal jaya salur galon air mineral duri kosambi,di
pemprov dki luncur eorder di balai kota,pemprov dki luncur eorder balai kota,di
pintu air pasar ikan status siaga,pintu air pasar ikan status siaga,
layan seluruh rute transjakarta sudah kembali normal,layan rute transjakarta normal,seluruh sudah kembali
tugas gabung sih sampah di kayu putih,tugas gabung sih sampah kayu putih,di
bmkg prediksi jakarta guyur hujan mulai pagi hari,bmkg prediksi jakarta guyur hujan pagi,mulai hari
sudin lh jakbar kerah tugas dalam kerja bakti,sudin lh jakbar kerah tugas kerja bakti,dalam
ratus rawan gojek distribusi ribu paket bantu bagi korban banjir,ratus rawan gojek distribusi ribu paket bantu korban banjir,bagi
warga apresiasi tangan genang di jagal,warga apresiasi tangan genang jagal,di
ketua komisi a bantu korban banjir di jakarta timur,ketua komisi a bantu korban banjir jakarta timur,di
dinas kpkp buka klinik hewan keliling gratis,dinas kpkp buka klinik hewan keliling gratis,
dinas didik pasti genang di sekolah sudah kering,dinas didik genang sekolah kering,pasti di sudah
bprd salur bantu bagi korban banjir di bintaro,bprd salur bantu korban banjir bintaro,bagi di
ketua dpd ri salur bantu kepada warga dampak banjir,ketua dpd ri salur bantu warga dampak banjir,kepada
rehabilitasi pasca banjir di jaktim laku hingga tuntas,rehabilitasi pasca banjir jaktim laku tuntas,di hingga
kodim kerah personel ikut kerja bakti di jakarta timur,kodim kerah personel kerja bakti jakarta timur,ikut di
mahasiswa ikut bantu kerja bakti di rawa jati,mahasiswa bantu kerja bakti rawa jati,ikut di
dinas lh kerah personel ikut kerja bakti,dinas lh kerah personel kerja bakti,ikut
tugas gabung sih jl yos sudarso dan boulevard kelapa gading,tugas gabung sih jl yos sudarso boulevard kelapa gading,dan
sumringahnya pasang nikah di lokasi dampak banjir kunjung anies,sumringahnya pasang nikah lokasi dampak banjir kunjung anies,di
ormas dan komunitas ikut kerja bakti rehabilitasi pasca banjir di kramat jati,ormas komunitas kerja bakti rehabilitasi pasca banjir kramat jati,dan ikut di
pasca banjir pemprov dki gelar kerja bakti sama warga,pasca banjir pemprov dki gelar kerja bakti warga,sama
pemkot jakut maksimal tangan genang di jagal,pemkot jakut maksimal tangan genang jagal,di
personel ikut kerja bakti di wilayah petogogan,personel kerja bakti wilayah petogogan,ikut di
tugas gabung dan warga kerja bakti di kedoya utara,tugas gabung warga kerja bakti kedoya utara,dan di
wilayah dampak banjir di tambur semprot disinfektan,wilayah dampak banjir tambur semprot disinfektan,di
wali kota jaksel pimpin personel sih lumpur di rumah warga,wali kota jaksel pimpin personel sih lumpur rumah warga,di
orang ikut kerja bakti pasca banjir di duren sawit,orang kerja bakti pasca banjir duren sawit,ikut di
warga apresiasi anies turun langsung bantu sih lingkung pasca banjir,warga apresiasi anies turun langsung bantu sih lingkung pasca banjir,
supporter persitara ikut kerja bakti lingkung,supporter persitara kerja bakti lingkung,ikut
kerja bakti di tambur personel gabung dan warga bahumembahu sih lumpur,kerja bakti tambur personel gabung warga bahumembahu sih lumpur,di dan
semprot disinfektan di gangsa dua kerah tugas gabung,semprot disinfektan gangsa kerah tugas gabung,di dua
transjakarta koridor masih setop operasi,transjakarta koridor setop operasi,masih
ratus personel gabung kerja bakti di kampung melayu,ratus personel gabung kerja bakti kampung melayu,di
kerja bakti pasca banjir di rawa jati,kerja bakti pasca banjir rawa jati,di
pintu air di jakarta dan sekitar masih normal,pintu air jakarta normal,di dan sekitar masih
bmkg prediksi hari ini jakarta guyur hujan,bmkg prediksi jakarta guyur hujan,hari ini
sudin sda jakbar kerah lima pompa mobile atas genang,sudin sda jakbar kerah pompa mobile genang,lima atas
bekas lokasi banjir di cipinang melayu beri cair disinfektan,bekas lokasi banjir cipinang melayu cair disinfektan,di beri
status pintu air di jakarta dan sekitar siaga,status pintu air jakarta siaga,di dan sekitar
pemprov dki pasti giat belajarmengajar jalan lancar bagi sekolah dampak banjir,pemprov dki giat belajarmengajar jalan lancar sekolah dampak banjir,pasti bagi
beton mcb di jl daan mogot rapi,beton mcb jl daan mogot rapi,di
sudin sda jakbar tambah tiga pompa mobile di seman,sudin sda jakbar pompa mobile seman,tambah tiga di
pemkot jaksel sih mukim warga dampak banjir di adegan,pemkot jaksel sih mukim warga dampak banjir adegan,di
pmi jakpus lisol mukim dampak banjir di kwitang,pmi jakpus lisol mukim dampak banjir kwitang,di
wakil wali kota jakpus pimpin kerja bakti di kwitang,wakil wali kota jakpus pimpin kerja bakti kwitang,di
ton sampah angkut dari cipinang melayu,ton sampah angkut cipinang melayu,dari
tugas gabung sih sampah sisa banjir di kemang timur,tugas gabung sih sampah sisa banjir kemang timur,di
senang warga dampak banjir bisa urus kembali dokumen duduk,senang warga dampak banjir urus dokumen duduk,bisa kembali
truk kerah angkut sampah sisa banjir di jakbar,truk kerah angkut sampah sisa banjir jakbar,di
sudin dukcapil jaksel urus dokumen adminduk warga dampak banjir,sudin dukcapil jaksel urus dokumen adminduk warga dampak banjir,
pulau ribu siaga empat kapal ambulans,pulau ribu siaga kapal ambulans,empat
tugas tangan tanggul jebol di jl rumah kemang jaya,tugas tangan tanggul jebol jl rumah kemang jaya,di
pintu air di jakarta dan sekitar siaga,pintu air jakarta siaga,di dan sekitar
unit mobil madam kerah atas lumpur di cipinang melayu,unit mobil madam kerah lumpur cipinang melayu,atas di
sudin dukcapil jakbar jemput bola layan warga dampak banjir,sudin dukcapil jakbar jemput bola layan warga dampak banjir,
baznas bazis dki salur bantu di rumah singgah lbkm pulau ribu,baznas bazis dki salur bantu rumah singgah lbkm pulau ribu,di
tugas gabung sih lumpur di cipinang melayu,tugas gabung sih lumpur cipinang melayu,di
dinkes siaga posko sehat jam di camat jatinegara,dinkes siaga posko sehat jam camat jatinegara,di
jumlah pintu air status siaga,pintu air status siaga,jumlah
jakarta prediksi hujan sejak pagi hari,jakarta prediksi hujan pagi,sejak hari
bank dki dan ancol sosialisasi guna mobile point of sale,bank dki ancol sosialisasi mobile point of sale,dan guna
jmn apresiasi anies terjun langsung cek tangan banjir,jmn apresiasi anies terjun langsung cek tangan banjir,
sudinsos jaksel ikan layan psikososial bagi warga dampak banjir,sudinsos jaksel ikan layan psikososial warga dampak banjir,bagi
warga dampak banjir di jaksel imbau waspada jentik nyamuk,warga dampak banjir jaksel imbau waspada jentik nyamuk,di
lurah pondok bambu salur bantu untuk warga dampak banjir,lurah pondok bambu salur bantu warga dampak banjir,untuk
persagi dki salur bantu ke warga dampak banjir di cipinang melayu,persagi dki salur bantu warga dampak banjir cipinang melayu,ke di
warga dampak banjir apresiasi tangan cepat pemprov dki,warga dampak banjir apresiasi tangan cepat pemprov dki,
sudinhub jaksel bantu derek mobil mogok di kompleks ikpn,sudinhub jaksel bantu derek mobil mogok kompleks ikpn,di
baznas bazis dki laku damping psikososial di lokasi ungsi,baznas bazis dki laku damping psikososial lokasi ungsi,di
panti sosial dinsos dki salur bantu makan siap saji,panti sosial dinsos dki salur bantu makan saji,siap
jalan dr sutomo sudah bersih dari lumpur dan sampah banjir,jalan dr sutomo bersih lumpur sampah banjir,sudah dari dan
dinas kukmp salur bantu bagi korban banjir di kayu putih,dinas kukmp salur bantu korban banjir kayu putih,bagi di
warga dampak banjir urus dokumen adminduk,warga dampak banjir urus dokumen adminduk,
anggota komisi a bantu korban banjir di jaksel,anggota komisi a bantu korban banjir jaksel,di
dinas nakertrans salur bantu untuk korban banjir,dinas nakertrans salur bantu korban banjir,untuk
bpbd buka posko terima bantu banjir di balai kota,bpbd buka posko terima bantu banjir balai kota,di
pemprov dki pasti butuh dasar warga dampak banjir penuh,pemprov dki butuh dasar warga dampak banjir penuh,pasti
lurah pulau panggang panen sayur,lurah pulau panggang panen sayur,
tugas ppsu sih sampah sisa banjir di pondok pinang,tugas ppsu sih sampah sisa banjir pondok pinang,di
tugas gabung sih lumpur sisa banjir di rw pondok bambu,tugas gabung sih lumpur sisa banjir rw pondok bambu,di
baznas bazis pulau ribu salur bantu makan siap saji,baznas bazis pulau ribu salur bantu makan saji,siap
tangan pasca genang laku di jl bungur besar raya,tangan pasca genang laku jl bungur raya,di besar
bpbd jumlah ungsi dampak banjir turun,bpbd ungsi dampak banjir turun,jumlah
rekapitulasi lapor genang dan banjir seluruh jalan di jaksel dan jaktim telah dapat lalu kendara,rekapitulasi lapor genang banjir jalan jaksel jaktim kendara,dan seluruh di dan telah dapat lalu
personel gabung sih sisa banjir di tanah abang,personel gabung sih sisa banjir tanah abang,di
upprd cilincing himpun bantu untuk korban dampak genang,upprd cilincing himpun bantu korban dampak genang,untuk
ppkd jaktim sumbang pakai baru untuk korban banjir,ppkd jaktim sumbang pakai korban banjir,baru untuk
tugas sih sampah sisa banjir di grogol tambur,tugas sih sampah sisa banjir grogol tambur,di
tugas gabung sih jl yos sudarso kelapa gading,tugas gabung sih jl yos sudarso kelapa gading,
jl jatinegara barat kembali buka,jl jatinegara barat buka,kembali
kolaborasi sama lembaga pemprov dki sepakat janji kerja sama tanggulang bencana di jakarta,kolaborasi lembaga pemprov dki sepakat janji kerja tanggulang bencana jakarta,sama sama di
ancol salur bantu untuk warga dampak banjir di jaring,ancol salur bantu warga dampak banjir jaring,untuk di
jumling di pulau kelapa pasti bersih lingkung jaga,jumling pulau kelapa bersih lingkung jaga,di pasti
lumpur sisa banjir di jl raya kayu putih bersih,lumpur sisa banjir jl raya kayu putih bersih,di
instalasi swro pulau harap uji coba,instalasi swro pulau harap uji coba,
tugas satpol pp pulau ribu siaga di posko bencana,tugas satpol pp pulau ribu siaga posko bencana,di
camat kelapa gading masih buka posko dapur umum,camat kelapa gading buka posko dapur,masih umum
pintu air di jakarta dan sekitar status siaga,pintu air jakarta status siaga,di dan sekitar
transjakarta koridor dan belum operasi normal,transjakarta koridor operasi normal,dan belum
bijak ganjil genap kembali terap hari ini,bijak ganjil genap terap,kembali hari ini
makan siap saji bagi pada ungsi di cipinang melayu,makan saji ungsi cipinang melayu,siap bagi pada di
walkot jaksel dan kapolda tinjau tangan banjir di bintaro,walkot jaksel kapolda tinjau tangan banjir bintaro,dan di
lumpur di jalan dr sutomo bersih,lumpur jalan dr sutomo bersih,di
kadin jakpus beri bantu bagi korban banjir,kadin jakpus bantu korban banjir,beri bagi
satpol pp dan warga kerja bakti sih lumpur sisa banjir,satpol pp warga kerja bakti sih lumpur sisa banjir,dan
bprd dki santun ribu anak yatim dan dhuafa,bprd dki santun ribu anak yatim dhuafa,dan
surut jumlah pintu air status siaga,surut pintu air status siaga,jumlah
personel dinas sda sedot genang di jl kemang raya,personel dinas sda sedot genang jl kemang raya,di
posko sehat di rw kwitang layan warga,posko sehat rw kwitang layan warga,di
dua alat berat tangan longsor di bambu apus,alat berat tangan longsor bambu apus,dua di
dinas dukcapil buka layan dokumen duduk warga dampak banjir,dinas dukcapil buka layan dokumen duduk warga dampak banjir,
tugas gabung sih jl kapten tendean,tugas gabung sih jl kapten tendean,
luap banjir di rusun pesakih olah jadi air bersih,luap banjir rusun pesakih olah air bersih,di jadi
ketua dprd serah bantu untuk korban banjir,ketua dprd serah bantu korban banjir,untuk
lokasi ungsi di kampus universitas borobudur tampung kk,lokasi ungsi kampus universitas borobudur tampung kk,di
ruas jalan di ibukota dan sekitar masih genang,ruas jalan ibukota genang,di dan sekitar masih
gor cendrawasih tampung warga korban banjir,gor cendrawasih tampung warga korban banjir,
beberapa rute transjakarta sudah kembali normal,rute transjakarta normal,beberapa sudah kembali
jl jatinegara barat masih alih,jl jatinegara barat alih,masih
beton mcb di jl rintis merdeka rapi,beton mcb jl rintis merdeka rapi,di
tinjau lokasi dampak banjir anies ajak warga gotong royong atas banjir,tinjau lokasi dampak banjir anies ajak warga gotong royong banjir,atas
lima unit pompa kerah atas genang di teluk gong,unit pompa kerah genang teluk gong,lima atas di
mensos cek dapur umum sudin sosial jaktim di cawang,mensos cek dapur sudin sosial jaktim cawang,umum di
sudinsos jaksel distribusi makan siap saji,sudinsos jaksel distribusi makan saji,siap
rekapitulasi faskes hingga jalur transportasi umum dampak genang dan banjir,rekapitulasi faskes jalur transportasi dampak genang banjir,hingga umum dan
pintu air angke hulu siaga,pintu air angke hulu siaga,
forum komunikasi bumd dki salur bantu untuk warga korban banjir,forum komunikasi bumd dki salur bantu warga korban banjir,untuk
wisatawan kunjung pulau ribu saat libur nataru,wisatawan kunjung pulau ribu libur nataru,saat
pohon tumbang di smpn pulau tidung evakuasi,pohon tumbang smpn pulau tidung evakuasi,di
dinas lh sih meter kubik sampah banjir,dinas lh sih meter kubik sampah banjir,
dinas lh kerah toilet portabel,dinas lh kerah toilet portabel,
anies tinjau tangan banjir di jl lebak bulus dalam,anies tinjau tangan banjir jl lebak bulus,di dalam
lima lokasi dampak banjir dapat bantu air bersih,lokasi dampak banjir bantu air bersih,lima dapat
bus transjakarta jurus bsd juanda setop operasi sementara,bus transjakarta jurus bsd juanda setop operasi,sementara
dua unit mobil pompa damkar kerah atas genang di cilincing,unit mobil pompa damkar kerah genang cilincing,dua atas di
tugas ppsu sih jl di panjaitan,tugas ppsu sih jl panjaitan,di
pam jaya distribusi air bersih bagi warga dampak banjir di pinang ranti,pam jaya distribusi air bersih warga dampak banjir pinang ranti,bagi di
sudinhub jaksel siaga personel di ruas jalan genang,sudinhub jaksel siaga personel ruas jalan genang,di
genang di jumlah jalan di jakut mulai surut,genang jalan jakut surut,di jumlah di mulai
mobil damkar sih lumpur di terowongan cawang,mobil damkar sih lumpur terowongan cawang,di
ini rute transjakarta yang alih dan setop operasi sementara,rute transjakarta alih setop operasi,ini yang dan sementara
hari ini bijak ganjil genap tiada,bijak ganjil genap tiada,hari ini
tma pintu air manggarai turun jadi siaga,tma pintu air manggarai turun siaga,jadi
pintu air manggarai siaga,pintu air manggarai siaga,
korban banjir evakuasi ke tenda ungsi cawang,korban banjir evakuasi tenda ungsi cawang,ke
pintu air manggarai dekat siaga,pintu air manggarai siaga,dekat
sudin sosial jakarta utara distribusi paket makan siap saji,sudin sosial jakarta utara distribusi paket makan saji,siap
personel satpol pp kerah ke lokasi banjir di kampung melayu,personel satpol pp kerah lokasi banjir kampung melayu,ke di
anies apresiasi kerja seluruh jajar pemprov dki kait banjir,anies apresiasi kerja jajar pemprov dki kait banjir,seluruh
pasok air pam di jakarta timur ganggu sementara,pasok air pam jakarta timur ganggu,di sementara
posko ungsi di tegal parang sebar di titik,posko ungsi tegal parang sebar titik,di di
pemprov dki siap posko bantu logistik,pemprov dki posko bantu logistik,siap
sudin sosial jaktim siap boks makan siap saji,sudin sosial jaktim boks makan saji,siap siap
puskesmas rawajati ii tampung warga dampak banjir,puskesmas rawajati ii tampung warga dampak banjir,
pemprov terus salur bantu bahan pokok ke posko ungsi,pemprov salur bantu bahan pokok posko ungsi,terus ke
pemprov dki siap siaga antisipasi dampak curah hujan tinggi,pemprov dki siaga antisipasi dampak curah hujan,siap tinggi
dinsos dki jakarta siap dapur umum bagi warga dampak banjir,dinsos dki jakarta dapur warga dampak banjir,siap umum bagi
wali kota jakbar salur bantu korban banjir di posko rawa buaya,wali kota jakbar salur bantu korban banjir posko rawa buaya,di
ini dua lokasi ungsi di lurah petogogan,lokasi ungsi lurah petogogan,ini dua di
dinkes dki siaga rsud dan puskesmas camat bagi warga dampak banjir,dinkes dki siaga rsud puskesmas camat warga dampak banjir,dan bagi
tugas tangan tanggul longsor di lurah setu,tugas tangan tanggul longsor lurah setu,di
sudin pe jaktim tambah terang di lokasi ungsi,sudin pe jaktim terang lokasi ungsi,tambah di
pintu air kali ciliwung lama buka hingga sentimeter,pintu air kali ciliwung buka sentimeter,lama hingga
tumpang mrt jakarta capai ribu saat malam tahun baru,tumpang mrt jakarta capai ribu malam,saat tahun baru
wali kota jaksel tinjau jumlah lokasi dampak banjir,wali kota jaksel tinjau lokasi dampak banjir,jumlah
sampah di malam tahun baru turun drastis,sampah malam turun drastis,di tahun baru
tugas ppsu bantu warga dampak banjir,tugas ppsu bantu warga dampak banjir,
wakil ketua dprd apresiasi gerak cepat anies dalam tangan banjir,wakil ketua dprd apresiasi gerak cepat anies tangan banjir,dalam
wakil wali kota jakpus cek tangan banjir,wakil wali kota jakpus cek tangan banjir,
sudin gulkarmat jaktim evakuasi warga dampak banjir,sudin gulkarmat jaktim evakuasi warga dampak banjir,
sudin sosial jaktim distribusi makan siap saji,sudin sosial jaktim distribusi makan saji,siap
lurah cengkareng timur diri dapur umum di rw,lurah cengkareng timur dapur rw,diri umum di
tugas atas genang di lurah pulau panggang,tugas genang lurah pulau panggang,atas di
ini beberapa posko tangan banjir di ibukota,posko tangan banjir ibukota,ini beberapa di
seluruh personel satpol pp kerah bantu warga dampak banjir,personel satpol pp kerah bantu warga dampak banjir,seluruh
warga dampak banjir di camat cempaka putih sudah evakuasi,warga dampak banjir camat cempaka putih evakuasi,di sudah
genang di jl kamal raya angsur surut,genang jl kamal raya angsur surut,di
tugas sih air pulau tidung,tugas sih air pulau tidung,
halte transjakarta jembatan baru jadi tempat ungsi sementara,halte transjakarta jembatan ungsi,baru jadi tempat sementara
lima puskesmas lurah di jakut fungsi jadi posko ungsi,puskesmas lurah jakut fungsi posko ungsi,lima di jadi
underpass kuninganmampang sudah bisa lintas kendara,underpass kuninganmampang lintas kendara,sudah bisa
sudin sosial jaktim diri dapur umum di cawang,sudin sosial jaktim dapur cawang,diri umum di
tugas gabung bantu evakuasi warga di sukapura,tugas gabung bantu evakuasi warga sukapura,di
sudin gulkarmat jaktim kerah perahu karet untuk evakuasi warga,sudin gulkarmat jaktim kerah perahu karet evakuasi warga,untuk
pintu air depok siaga,pintu air depok siaga,
tugas gabung tangan banjir di rawajati,tugas gabung tangan banjir rawajati,di
sudinhub jakut siaga mobil derek di lokasi dampak genang,sudinhub jakut siaga mobil derek lokasi dampak genang,di
pohon tumbang di pulau tidung evakuasi,pohon tumbang pulau tidung evakuasi,di
personel dinas gulkarmat dan bpbd kerah untuk evakuasi warga,personel dinas gulkarmat bpbd kerah evakuasi warga,dan untuk
atas genang sda jakut buka nyaring pintu air kali kresek,genang sda jakut buka nyaring pintu air kali kresek,atas
meter kubik sampah angkat dari pintu air manggarai,meter kubik sampah angkat pintu air manggarai,dari
pd pal jaya bantu warga dampak genang,pd pal jaya bantu warga dampak genang,
sudin sosial jakut siap paket makan siap saji,sudin sosial jakut paket makan saji,siap siap
anies pasti tangan kait banjir laku optimal,anies tangan kait banjir laku optimal,pasti
beberapa koridor transjakarta setop operasi sementara,koridor transjakarta setop operasi,beberapa sementara
tugas ppsu evakuasi pohon tumbang di jl arteri marunda,tugas ppsu evakuasi pohon tumbang jl arteri marunda,di
pintu air manggarai status siaga,pintu air manggarai status siaga,
jl sudirman thamrin sudah bisa lalu kendara,jl sudirman thamrin kendara,sudah bisa lalu
jual jas hujan raup rezeki di kawasan bundar hi,jual jas hujan raup rezeki kawasan bundar hi,di
apbd sudah bisa guna mulai januari,apbd januari,sudah bisa guna mulai
wali kota jaksel harap tahun makin baik,wali kota jaksel harap,tahun makin baik
wakil wali kota jakpus tinjau lokasi ramai malam tahun baru,wakil wali kota jakpus tinjau lokasi ramai malam,tahun baru
alif dan riski senang bisa naik transjakarta ke acara tahun baru,alif riski senang transjakarta acara,dan bisa naik ke tahun baru
dagang thamrin petik berkah malam tahun baru,dagang thamrin petik berkah malam,tahun baru
